order;fide_id;name;federation;gender;title;yob
106;4108698;Saunina, Ludmila;RUS;F;WGM;1952
107;4108752;Grabuzova, Tatiana;RUS;F;WGM;1967
108;4108868;Alekhina, Natalia V;RUS;F;WGM;1954
109;4109040;Mikhaylova, Irina;RUS;F;WGM;1963
110;4109228;Kryukova, Irina;RUS;F;WGM;1968
111;4109651;Stjazhkina, Olga;RUS;F;WGM;1970
112;4109961;Mednikova, Svetlana;RUS;F;WGM;1956
113;4110579;Bogumil, Tatiana;RUS;F;WGM;1958
114;4111443;Gladisheva, Tatjana;RUS;F;WGM;1966
115;4118367;Semenova, Irina;RUS;F;WGM;1968
116;4119118;Shadrina, Tatiana;RUS;F;WGM;1974
117;4119851;Roschina, Tatiana;RUS;F;WGM;1976
118;4124251;Ruchieva, Natalia;UKR;F;WGM;1960
119;4127714;Ryjanova, Julia;AUS;F;WGM;1974
120;4127951;Mirzoeva, Elmira;RUS;F;WGM;1981
121;4128524;Chasovnikova, Eugenia;RUS;F;WGM;1981
122;4129709;Kursova, Maria;ARM;F;WGM;1986
123;4129903;Sudakova, Irina;RUS;F;WGM;1982
124;4132203;Molchanova, Tatjana;RUS;F;WGM;1980
125;4135504;Zakurdjaeva, Irina;RUS;F;WGM;1982
126;4136632;Melnikova, Yana;RUS;F;WGM;1984
127;4137728;Suleimanova, Ava;UKR;F;WGM;1982
128;4139690;Movsesian, Julia;SVK;F;WGM;1981
129;4140389;Shaydullina, Sandugach;RUS;F;WGM;1981
130;4142411;Fominykh, Maria;RUS;F;WGM;1987
131;4147855;Pogonina, Natalija;RUS;F;WGM;1985
132;4148827;Karnaukhova, Elmira;RUS;F;WGM;1985
133;4150740;Burtasova, Anna;CAN;F;WGM;1987
134;4152280;Iljushina, Olga;RUS;F;WGM;1981
135;4152654;Meshcheriakova, Evgenia;RUS;F;WGM;1985
136;4155548;Borisova, Elizaveta;RUS;F;WGM;1984
137;4162340;Tomilova, Elena;RUS;F;WGM;1986
138;4163117;Kucherova, Lija;RUS;F;WGM;1986
139;4163591;Nebolsina, Vera;RUS;F;WGM;1989
140;4164083;Kovanova, Baira;RUS;F;WGM;1987
141;4165012;Paramzina, Anastasya;RUS;F;WGM;1998
142;4182146;Voit, Daria;RUS;F;WGM;1994
143;4185641;Ivakhinova, Inna;RUS;F;WGM;1989
144;4190360;Fatianova, Tatiana;RUS;F;WGM;1984
145;4195752;Girya, Olga;RUS;F;WGM;1991
146;4200187;Makropoulou, Marina;GRE;F;WGM;1960
